Year,Category,Actuals,Annualized_CR,PresBud,PresBud_vs_Annualized_CR,Enacted,PresBud_vs_Enacted
2019,Homeland Security:  Communication and Information,3480.0,3834.0,3511.0,-323.0,,
2019,Homeland Security:  Critical Infrastructure Protection,936.9,956.0,1263.0,307.0,,
2019,Homeland Security:  Protection of EPA Personnel and,,,,,,
2019,,4918.0,5336.0,4986.0,-350.0,,
2019,Infrastructure,,,,,,
2019,"Subtotal, Homeland Security",9334.9,10126.0,9760.0,-366.0,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,State and Local Prevention and Preparedness,14413.1,15269.0,10031.0,-5238.0,,
2019,TRI / Right to Know,12556.8,14187.0,7726.0,-6461.0,,
2019,Tribal - Capacity Building,14760.7,14448.0,12631.0,-1817.0,,
2019,Executive Management and Operations,47207.3,46398.0,39431.0,-6967.0,,
2019,Environmental Education,8930.9,8643.0,0.0,-8643.0,,
2019,Exchange Network,16483.8,16578.0,11784.0,-4794.0,,
2019,Small Minority Business Assistance,1704.6,1573.0,0.0,-1573.0,,
2019,Small Business Ombudsman,2102.2,2080.0,1965.0,-115.0,,
2019,Children and Other Sensitive Populations: Agency,,,,,,
2019,,6294.6,6504.0,2018.0,-4486.0,,
2019,Coordination,,,,,,
2019,"Subtotal, Information Exchange / Outreach",124454.0,125680.0,85586.0,-40094.0,,
2019,International Programs,,,,,,
2019,US Mexico Border,2864.8,3012.0,0.0,-3012.0,,
2019,International Sources of Pollution,6338.3,6506.0,4188.0,-2318.0,,
2019,Trade and Governance,5857.8,5777.0,0.0,-5777.0,,
2019,"Subtotal, International Programs",15060.9,15295.0,4188.0,-11107.0,,
2019,IT / Data Management / Security,,,,,,
2019,Information Security,9166.5,6742.0,13755.0,7013.0,,
2019,IT / Data Management,82580.0,83179.0,69264.0,-13915.0,,
2019,"Subtotal, IT / Data Management / Security",91746.5,89921.0,83019.0,-6902.0,,
2019,Legal / Science / Regulatory / Economic Review,,,,,,
2019,Integrated Environmental Strategies,10732.3,10581.0,9496.0,-1085.0,,
2019,Administrative Law,4533.9,4381.0,4557.0,176.0,,
2019,Alternative Dispute Resolution,1142.0,1015.0,0.0,-1015.0,,
2019,Civil Rights Program,10101.9,9699.0,8545.0,-1154.0,,
2019,Legal Advice: Environmental Program,52889.7,49657.0,42292.0,-7365.0,,
2019,Legal Advice: Support Program,14489.7,15170.0,16451.0,1281.0,,
2019,Regional Science and Technology,1398.2,1406.0,0.0,-1406.0,,
2019,Science Advisory Board,3820.3,3736.0,3779.0,43.0,,
2019,Regulatory/Economic-Management and Analysis,15498.4,15011.0,15532.0,521.0,,
2019,"Subtotal, Legal / Science / Regulatory / Economic Review",114606.4,110656.0,100652.0,-10004.0,,
2019,Operations and Administration,,,,,,
2019,"Central Planning, Budgeting, and Finance",73003.2,71493.0,68635.0,-2858.0,,
2019,Facilities Infrastructure and Operations,293997.9,305844.0,300738.0,-5106.0,,
2019,Acquisition Management,31042.0,30803.0,25438.0,-5365.0,,
2019,Human Resources Management,50608.8,43930.0,40860.0,-3070.0,,
2019,Financial Assistance Grants / IAG Management,24444.8,25416.0,18986.0,-6430.0,,
2019,Workforce Reshaping,0.0,0.0,25549.0,25549.0,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,"Subtotal, Operations and Administration",473096.7,477486.0,480206.0,2720.0,,
2019,Pesticides Licensing,,,,,,
2019,Science Policy and Biotechnology,1210.0,1479.0,0.0,-1479.0,,
2019,Pesticides: Protect Human Health from Pesticide Risk,56911.0,55696.0,45949.0,-9747.0,,
2019,Pesticides: Protect the Environment from Pesticide Risk,36654.9,38302.0,28727.0,-9575.0,,
2019,Pesticides: Realize the Value of Pesticide Availability,5554.3,6191.0,5084.0,-1107.0,,
2019,"Subtotal, Pesticides Licensing",100330.2,101668.0,79760.0,-21908.0,,
2019,Resource Conservation and Recovery Act (RCRA),,,,,,
2019,RCRA:  Corrective Action,36129.6,36584.0,31944.0,-4640.0,,
2019,RCRA:  Waste Management,58277.0,58439.0,41907.0,-16532.0,,
2019,RCRA:  Waste Minimization & Recycling,9254.1,9141.0,0.0,-9141.0,,
2019,"Subtotal, Resource Conservation and Recovery Act",,,,,,
2019,,103660.7,104164.0,73851.0,-30313.0,,
2019,(RCRA),,,,,,
2019,Toxics Risk Review and Prevention,,,,,,
2019,Endocrine Disruptors,6006.4,7502.0,0.0,-7502.0,,
2019,Pollution Prevention Program,11338.1,12194.0,0.0,-12194.0,,
2019,Toxic Substances:  Chemical Risk Review and,,,,,,
2019,,64329.5,58995.0,58626.0,-369.0,,
2019,Reduction,,,,,,
2019,Toxic Substances:  Lead Risk Reduction Program,12780.9,13203.0,0.0,-13203.0,,
2019,"Subtotal, Toxics Risk Review and Prevention",94454.9,91894.0,58626.0,-33268.0,,
2019,Underground Storage Tanks (LUST / UST),,,,,,
2019,LUST / UST,10654.3,11218.0,5615.0,-5603.0,,
2019,Water:  Ecosystems,,,,,,
2019,National Estuary Program / Coastal Waterways,26759.1,26542.0,0.0,-26542.0,,
2019,Wetlands,20448.7,20922.0,17913.0,-3009.0,,
2019,"Subtotal, Water:  Ecosystems",47207.8,47464.0,17913.0,-29551.0,,
2019,Water: Human Health Protection,,,,,,
2019,Beach / Fish Programs,1364.0,1638.0,0.0,-1638.0,,
2019,Drinking Water Programs,95917.2,96200.0,80543.0,-15657.0,,
2019,"Subtotal, Water: Human Health Protection",97281.2,97838.0,80543.0,-17295.0,,
2019,Water Quality Protection,,,,,,
2019,Marine Pollution,11694.4,10102.0,0.0,-10102.0,,
2019,Surface Water Protection,198589.4,198886.0,174975.0,-23911.0,,
2019,"Subtotal, Water Quality Protection",210283.8,208988.0,174975.0,-34013.0,,
2019,Congressional Priorities,,,,,,
2019,Water Quality Research and Support Grants,12688.0,12614.0,0.0,-12614.0,,
2019,Hazardous Substance Superfund,,,,,,
2019,Indoor Air and Radiation,,,,,,
2019,Radiation:  Protection,1833.6,1972.0,1972.0,0.0,,
2019,"Audits, Evaluations, and Investigations",,,,,,
2019,"Audits, Evaluations, and Investigations",9156.4,8718.0,8718.0,0.0,,
2019,Compliance,,,,,,
2019,Compliance Monitoring,1028.8,988.0,988.0,0.0,,
2019,Enforcement,,,,,,
2019,Criminal Enforcement,6815.3,7135.0,7135.0,0.0,,
2019,Environmental Justice,732.9,554.0,0.0,-554.0,,
2019,Forensics Support,1543.6,1097.0,1097.0,0.0,,
2019,Superfund:  Enforcement,153706.0,150466.0,150466.0,0.0,,
2019,Superfund: Federal Facilities Enforcement,5594.9,5993.0,5993.0,0.0,,
2019,"Subtotal, Enforcement",168392.7,165245.0,164691.0,-554.0,,
2019,,,,,,,
2019,,,,,,,
2019,Information Exchange / Outreach,,,,,,
2019,Exchange Network,1316.3,1319.0,1319.0,0.0,,
2019,IT / Data Management / Security,,,,,,
2019,Information Security,654.9,666.0,5186.0,4520.0,,
2019,IT / Data Management,14691.5,13720.0,13720.0,0.0,,
2019,"Subtotal, IT / Data Management / Security",15346.4,14386.0,18906.0,4520.0,,
2019,Legal / Science / Regulatory / Economic Review,,,,,,
2019,Alternative Dispute Resolution,591.3,667.0,0.0,-667.0,,
2019,Legal Advice: Environmental Program,691.2,577.0,577.0,0.0,,
2019,"Subtotal, Legal / Science / Regulatory / Economic Review",1282.5,1244.0,577.0,-667.0,,
2019,Operations and Administration,,,,,,
2019,"Central Planning, Budgeting, and Finance",22511.4,21345.0,21152.0,-193.0,,
2019,Facilities Infrastructure and Operations,69651.3,75985.0,74144.0,-1841.0,,
2019,Acquisition Management,22103.1,21296.0,21296.0,0.0,,
2019,Human Resources Management,5380.1,5997.0,5497.0,-500.0,,
2019,Financial Assistance Grants / IAG Management,2997.4,2611.0,2611.0,0.0,,
2019,"Subtotal, Operations and Administration",122643.3,127234.0,124700.0,-2534.0,,
2019,Research:  Sustainable Communities,,,,,,
2019,Research: Sustainable and Healthy Communities,12717.6,11385.0,10885.0,-500.0,,
2019,Research:  Chemical Safety and Sustainability,,,,,,
2019,Human Health Risk Assessment,3020.5,2805.0,5021.0,2216.0,,
2019,Superfund Cleanup,,,,,,
2019,Superfund:  Emergency Response and Removal,198324.0,180075.0,181306.0,1231.0,,
2019,Superfund:  EPA Emergency Preparedness,7174.6,7584.0,7584.0,0.0,,
2019,Superfund:  Federal Facilities,22434.2,20982.0,20982.0,0.0,,
2019,Superfund:  Remedial,544822.9,505042.0,508495.0,3453.0,,
2019,"Subtotal, Superfund Cleanup",772755.7,713683.0,718367.0,4684.0,,
2019,"Total, Hazardous Substance Superfund",1144699.4,1081374.0,1088830.0,7456.0,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,Facilities Infrastructure and Operations,502.2,793.0,773.0,-20.0,,
2019,Acquisition Management,144.7,146.0,138.0,-8.0,,
2019,"Subtotal, Operations and Administration",1020.1,1343.0,1331.0,-12.0,,
2019,Underground Storage Tanks (LUST / UST),,,,,,
2019,LUST / UST,9554.5,9177.0,6452.0,-2725.0,,
2019,LUST Cooperative Agreements,55320.2,54666.0,38840.0,-15826.0,,
2019,LUST Prevention,25305.9,25197.0,0.0,-25197.0,,
2019,"Subtotal, Underground Storage Tanks (LUST / UST)",90180.6,89040.0,45292.0,-43748.0,,
2019,Research:  Sustainable Communities,,,,,,
2019,Research: Sustainable and Healthy Communities,358.0,318.0,320.0,2.0,,
2019,"Total, Leaking Underground Storage Tanks",92143.4,91317.0,47532.0,-43785.0,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,GKM Water Monitoring,105.5,3973.0,0.0,-3973.0,,
2019,"Subtotal, State and Tribal Assistance Grants (STAG)",2504819.6,2444407.0,2332120.0,-112287.0,,
2019,Categorical Grants,,,,,,
2019,Categorical Grant:  Nonpoint Source (Sec. 319),169771.6,169754.0,0.0,-169754.0,,
2019,Categorical Grant:  Public Water System Supervision,,,,,,
2019,,101125.8,101271.0,67892.0,-33379.0,,
2019,(PWSS),,,,,,
2019,Categorical Grant:  State and Local Air Quality,,,,,,
2019,,214180.6,226669.0,151961.0,-74708.0,,
2019,Management,,,,,,
2019,Categorical Grant:  Radon,7963.4,7996.0,0.0,-7996.0,,
2019,Categorical Grant:  Pollution Control (Sec. 106),,,,,,
2019,Monitoring Grants,18392.0,17727.0,11884.0,-5843.0,,
2019,Categorical Grant:  Pollution Control (Sec.,,,,,,
2019,,209294.1,211512.0,141799.0,-69713.0,,
2019,106) (other activities),,,,,,
2019,"Subtotal, Categorical Grant:  Pollution Control (Sec.",,,,,,
2019,,,229239.0,153683.0,-75556.0,,
2019,106),227686.1,,,,,
2019,Categorical Grant:  Wetlands Program Development,15867.0,14561.0,9762.0,-4799.0,,
2019,Categorical Grant:  Underground Injection Control,,,,,,
2019,,10572.3,10435.0,6995.0,-3440.0,,
2019,(UIC),,,,,,
2019,Categorical Grant:  Pesticides Program Implementation,12402.4,12615.0,8457.0,-4158.0,,
2019,Categorical Grant:  Lead,14822.2,13954.0,0.0,-13954.0,,
2019,Categorical Grant:  Hazardous Waste Financial,,,,,,
2019,,97165.0,99016.0,66381.0,-32635.0,,
2019,Assistance,,,,,,
2019,Categorical Grant:  Pesticides Enforcement,17687.1,17927.0,10531.0,-7396.0,,
2019,Categorical Grant:  Pollution Prevention,4504.6,4733.0,0.0,-4733.0,,
2019,Categorical Grant:  Toxics Substances Compliance,4938.3,4886.0,3276.0,-1610.0,,
2019,Categorical Grant:  Tribal General Assistance Program,68186.0,65031.0,44233.0,-20798.0,,
2019,Categorical Grant:  Underground Storage Tanks,1479.4,1488.0,0.0,-1488.0,,
2019,Categorical Grant:  Tribal Air Quality Management,14027.8,12742.0,8963.0,-3779.0,,
2019,Categorical Grant:  Environmental Information,9289.3,9580.0,6422.0,-3158.0,,
2019,Categorical Grant:  Beaches Protection,9540.3,9484.0,0.0,-9484.0,,
2019,Categorical Grant:  Brownfields,46994.9,47421.0,31791.0,-15630.0,,
2019,Categorical Grant: Multipurpose Grants,162.9,0.0,27000.0,27000.0,,
2019,"Subtotal, Categorical Grants",1048367.0,1058802.0,597347.0,-461455.0,,
2019,Congressional Priorities,,,,,,
2019,Congressionally Mandated Projects,4565.8,0.0,0.0,0.0,,
2019,"Total, State and Tribal Assistance Grants",3557752.4,3503209.0,2929467.0,-573742.0,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,,,,,,,
2019,"Total, Hazardous Waste Electronic  Manifest System",,,,,,
2019,,4915.4,3156.0,0.0,-3156.0,,
2019,Fund,,,,,,
2019,Water Infrastructure  Finance and Innovation Fund,,,,,,
2019,Water  Quality Protection,,,,,,
2019,Water  Infrastructure Finance and Innovation1,3597.7,12932.0,20000.0,7068.0,,
2019,"Total, Water Infrastructure Finance and Innovation",,,,,,
2019,,3597.7,12932.0,20000.0,7068.0,,
2019,Fund,,,,,,
2019,"Subtotal, EPA",8257022.7,8096497.0,6366347.0,-1730150.0,,
2019,Cancellation  of  Funds,0.0,-90348.0,-220460.0,-130112.0,,
2019,"TOTAL, EPA",8257022.7,8006149.0,6145887.0,-1860262.0,,
2019,,,,,,,
2019,1 The FY 2017 Appropriations Act (P.L. 115-31) provided the WIFIA program with $10 million; this funding supplemented,,,,,,
2019,,,,,,,
2019,,56.0,,,,,
2018,Science & Technology,,,,,,
2018,Clean Air,,,,,,
2018,Clean Air Allowance Trading Programs,8149.6,7793.0,5739.0,2054.0,,
2018,GHG Reporting Program,8824.2,8003.0,0.0,8003.0,,
2018,Federal Support for Air Quality Management,6234.3,7453.0,3959.0,3494.0,,
2018,Federal Vehicle and Fuels Standards and Certification,85613.6,93070.0,76010.0,17060.0,,
2018,"Subtotal, Clean Air",108821.7,116319.0,85708.0,30611.0,,
2018,Indoor Air and Radiation,,,,,,
2018,Indoor Air:  Radon Program,378.9,172.0,0.0,172.0,,
2018,Radiation: Protection,2064.5,1831.0,0.0,1831.0,,
2018,Radiation:  Response Preparedness,3716.5,3774.0,3339.0,435.0,,
2018,Reduce Risks from Indoor Air,260.4,209.0,0.0,209.0,,
2018,"Subtotal, Indoor Air and Radiation",6420.3,5986.0,3339.0,2647.0,,
2018,Enforcement,,,,,,
2018,Forensics Support,13949.7,13643.0,10444.0,3199.0,,
2018,Homeland Security,,,,,,
2018,Homeland Security:  Critical Infrastructure Protection,9807.2,10497.0,0.0,10497.0,,
2018,"Homeland Security: Preparedness, Response, and",,,,,,
2018,Recovery,26800.2,26004.0,22597.0,3407.0,,
2018,Homeland Security: Protection of EPA Personnel and,,,,,,
2018,Infrastructure,551.0,551.0,500.0,51.0,,
2018,"Subtotal, Homeland Security",37158.4,37052.0,23097.0,13955.0,,
2018,IT / Data Management / Security,,,,,,
2018,IT / Data Management,2892.6,3083.0,2725.0,358.0,,
2018,Operations and Administration,,,,,,
2018,Facilities Infrastructure and Operations,71332.8,68209.0,68339.0,130.0,,
2018,Workforce Reshaping,0.0,0.0,10995.0,10995.0,,
2018,"Subtotal, Operations and Administration",71332.8,68209.0,79334.0,11125.0,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,Pesticides: Protect Human Health from Pesticide Risk,3772.1,3122.0,2274.0,848.0,,
2018,Pesticides: Protect the Environment from Pesticide Risk,1737.5,2324.0,2195.0,129.0,,
2018,Pesticides: Realize the Value of Pesticide Availability,427.4,570.0,527.0,43.0,,
2018,"Subtotal, Pesticides Licensing",5937.0,6016.0,4996.0,1020.0,,
2018,Research:  Air and Energy,,,,,,
2018,Research: Air and Energy,104407.9,91731.0,30592.0,61139.0,,
2018,Research:  Safe and Sustainable Water Resources,,,,,,
2018,Research: Safe and Sustainable Water Resources,114874.9,107230.0,68520.0,38710.0,,
2018,Research:  Sustainable Communities,,,,,,
2018,Research: Sustainable and Healthy Communities,154349.4,139709.0,54211.0,85498.0,,
2018,Research:  Chemical Safety and Sustainability,,,,,,
2018,Human Health Risk Assessment,36007.0,37530.0,22516.0,15014.0,,
2018,Research: Chemical Safety and Sustainability,,,,,,
2018,Endocrine Disruptors,15980.1,0.0,10122.0,10122.0,,
2018,Computational Toxicology,23937.4,0.0,17165.0,17165.0,,
2018,Research: Chemical Safety and Sustainability,,,,,,
2018,(other activities),53405.9,89158.0,34386.0,54772.0,,
2018,"Subtotal, Research: Chemical Safety and",,,,,,
2018,Sustainability,93323.4,89158.0,61673.0,27485.0,,
2018,"Subtotal, Research:  Chemical Safety and Sustainability",129330.4,126688.0,84189.0,42499.0,,
2018,Water: Human Health Protection,,,,,,
2018,Drinking Water Programs,3975.8,3512.0,3657.0,145.0,,
2018,Congressional Priorities,,,,,,
2018,Water Quality Research and Support Grants,10378.5,14073.0,0.0,14073.0,,
2018,"Total, Science & Technology",763829.4,733251.0,450812.0,282439.0,,
2018,,,,,,,
2018,,,,,,,
2018,Indoor Air and Radiation,,,,,,
2018,Indoor Air:  Radon Program,2759.3,2904.0,0.0,2904.0,,
2018,Radiation: Protection,8371.0,8427.0,0.0,8427.0,,
2018,Radiation:  Response Preparedness,2047.1,2545.0,2257.0,288.0,,
2018,Reduce Risks from Indoor Air,12972.9,13707.0,0.0,13707.0,,
2018,"Subtotal, Indoor Air and Radiation",26150.3,27583.0,2257.0,25326.0,,
2018,Brownfields,,,,,,
2018,Brownfields,24718.6,25544.0,16082.0,9462.0,,
2018,Compliance,,,,,,
2018,Compliance Monitoring,103713.4,101472.0,86431.0,15041.0,,
2018,Enforcement,,,,,,
2018,Civil Enforcement,174120.9,171051.0,140470.0,30581.0,,
2018,Criminal Enforcement,47844.7,46225.0,40341.0,5884.0,,
2018,Environmental Justice,7347.6,6724.0,0.0,6724.0,,
2018,NEPA Implementation,15761.3,16179.0,13496.0,2683.0,,
2018,"Subtotal, Enforcement",245074.5,240179.0,194307.0,45872.0,,
2018,Geographic Programs,,,,,,
2018,Geographic Program:  Chesapeake Bay,77543.8,72861.0,0.0,72861.0,,
2018,Geographic Program:  Gulf of Mexico,5392.3,4473.0,0.0,4473.0,,
2018,Geographic Program:  Lake Champlain,4395.0,4391.0,0.0,4391.0,,
2018,Geographic Program:  Long Island Sound,3935.6,3932.0,0.0,3932.0,,
2018,Geographic Program: Other,,,,,,
2018,Lake Pontchartrain,947.0,0.0,0.0,0.0,,
2018,S.New England Estuary (SNEE),4975.0,0.0,0.0,0.0,,
2018,Geographic Program:  Other (other activities),1460.0,7379.0,0.0,7379.0,,
2018,"Subtotal, Geographic Program: Other",7382.0,7379.0,0.0,7379.0,,
2018,Great Lakes Restoration,288091.8,299430.0,0.0,299430.0,,
2018,Geographic Program: South Florida,1733.0,1701.0,0.0,1701.0,,
2018,Geographic Program: San Francisco Bay,4600.7,4810.0,0.0,4810.0,,
2018,Geographic Program: Puget Sound,28046.3,27947.0,0.0,27947.0,,
2018,"Subtotal, Geographic Programs",421120.5,426924.0,0.0,426924.0,,
2018,Homeland Security,,,,,,
2018,Homeland Security:  Communication and Information,4025.3,3870.0,3512.0,358.0,,
2018,Homeland Security:  Critical Infrastructure Protection,627.1,970.0,0.0,970.0,,
2018,,,,,,,
2018,,,,,,,
2018,,,,,,,
2018,Homeland Security: Protection of EPA Personnel and,,,,,,
2018,Infrastructure,4987.0,5336.0,4986.0,350.0,,
2018,"Subtotal, Homeland Security",9639.4,10176.0,8498.0,1678.0,,
2018,Information Exchange / Outreach,,,,,,
2018,State and Local Prevention and Preparedness,15044.1,15289.0,10011.0,5278.0,,
2018,TRI / Right to Know,13292.4,13856.0,8680.0,5176.0,,
2018,Tribal - Capacity Building,14056.3,14358.0,11731.0,2627.0,,
2018,Executive Management and Operations,47798.4,46930.0,37106.0,9824.0,,
2018,Environmental Education,10138.8,8685.0,0.0,8685.0,,
2018,Exchange Network,17066.5,16984.0,11784.0,5200.0,,
2018,Small Minority Business Assistance,1464.0,1667.0,0.0,1667.0,,
2018,Small Business Ombudsman,2378.0,1995.0,1965.0,30.0,,
2018,Children and Other Sensitive Populations: Agency,,,,,,
2018,Coordination,6252.7,6535.0,2018.0,4517.0,,
2018,"Subtotal, Information Exchange / Outreach",127491.2,126299.0,83295.0,43004.0,,
2018,International Programs,,,,,,
2018,US Mexico Border,2913.7,3057.0,0.0,3057.0,,
2018,International Sources of Pollution,6345.0,6418.0,4051.0,2367.0,,
2018,Trade and Governance,6231.3,5896.0,0.0,5896.0,,
2018,"Subtotal, International Programs",15490.0,15371.0,4051.0,11320.0,,
2018,IT / Data Management / Security,,,,,,
2018,Information Security,27152.6,28132.0,11997.0,16135.0,,
2018,IT / Data Management,83883.2,83790.0,70069.0,13721.0,,
2018,"Subtotal, IT / Data Management / Security",111035.8,111922.0,82066.0,29856.0,,
2018,Legal / Science / Regulatory / Economic Review,,,,,,
2018,Integrated Environmental Strategies,13429.0,11469.0,9151.0,2318.0,,
2018,Administrative Law,4984.0,4765.0,4141.0,624.0,,
2018,Alternative Dispute Resolution,1442.1,1043.0,0.0,1043.0,,
2018,Civil Rights Program,11216.7,10052.0,8266.0,1786.0,,
2018,Legal Advice: Environmental Program,49227.0,48473.0,42565.0,5908.0,,
2018,Legal Advice: Support Program,14692.6,15450.0,15548.0,98.0,,
2018,Regional Science and Technology,1602.1,1529.0,0.0,1529.0,,
2018,Science Advisory Board,4203.8,3875.0,3567.0,308.0,,
2018,Regulatory/Economic-Management and Analysis,15218.6,14546.0,15208.0,662.0,,
2018,"Subtotal, Legal / Science / Regulatory / Economic Review",116015.9,111202.0,98446.0,12756.0,,
2018,,,,,,,
2018,,,,,,,
2018,Operations and Administration,,,,,,
2018,"Central Planning, Budgeting, and Finance",70707.8,72047.0,64709.0,7338.0,,
2018,Facilities Infrastructure and Operations,304456.9,310948.0,301001.0,9947.0,,
2018,Acquisition Management,30174.3,30406.0,24978.0,5428.0,,
2018,Human Resources Management,40756.0,43185.0,40512.0,2673.0,,
